YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,3,1,6,19,3001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,6,20,3001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,6,21,3001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,9,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,10,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,11,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,12,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,13,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,17,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,18,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,19,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,20,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,7,21,3001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,9,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,10,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,11,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,12,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,13,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,17,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,18,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,19,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,20,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,8,21,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,9,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,10,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,11,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,12,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,13,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,17,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,18,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,19,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,20,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,9,21,3001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,9,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
