YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,5,1,6,19,5001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,6,20,5001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,6,21,5001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,9,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,10,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,11,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,12,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,13,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,17,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,18,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,19,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,20,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,7,21,5001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,9,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,10,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,11,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,12,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
